21 2 100.0
21 23 80.0
21 36 75.0
2 23 50.0
2 4 200.0
2 8 70.0
23 4 55.0
23 7 130.0
4 5 60.0
4 36 90.0
4 7 80.0
4 9 120.0
5 8 80.0
5 9 150.0
5 14 10.0
36 10 10.0
36 12 10.0
7 10 70.0
7 13 50.0
8 14 80.0
9 12 30.0
9 14 60.0
10 11 90.0
10 13 30.0
11 12 40.0
11 13 160.0

1 22 100.0
1 3 80.0
1 16 75.0
22 3 50.0
22 24 200.0
22 18 70.0
3 24 55.0
3 17 130.0
24 15 60.0
24 16 90.0
24 17 80.0
24 19 120.0
15 18 80.0
15 19 150.0
15 24 10.0
16 20 10.0
16 22 10.0
17 20 70.0
17 3 50.0
18 24 80.0
19 22 30.0
19 24 60.0
20 1 90.0
20 3 30.0
1 22 40.0

25 26 130.0
25 27 80.0
25 28 10.0
25 29 40.0
25 30 25.0
25 31 120.0
25 35 300.0
25 6 80.0
25 36 140.0
25 38 130.0
25 50 35.0
26 29 75.0
26 30 10.0
26 31 5.0
26 34 145.0
26 37 170.0
26 38 550.0
26 39 50.0
26 45 100.0
27 35 430.0
27 33 120.0
27 34 55.0
27 35 165.0
27 6 50.0
27 39 45.0
27 53 25.0
28 26 30.0
28 31 35.0
28 32 175.0
28 34 195.0
28 35 110.0
28 6 70.0
29 49 120.0
30 32 45.0
31 34 50.0
33 35 120.0
33 6 125.0
34 35 100.0
35 6 15.0
36 6 120.0
36 37 130.0
36 38 55.0
38 47 105.0
37 50 120.0
38 54 120.0
38 50 150.0
38 51 60.0
38 52 5.0
38 54 120.0
39 52 50.0
39 53 10.0
39 54 220.0
50 52 10.0
50 54 15.0
51 52 35.0
51 53 50.0
51 54 150.0
41 43 60.0
42 54 35.0
44 46 45.0
40 48 70.0
