1 2 1
1 3 14
2 4 13
4 3 11
15 4 8
15 17 2
4 17 5
4 6 2
17 6 1
16 17 1
15 16 1
16 24 3
16 13 5
24 23 7
24 30 5
30 29 1
23 29 4
23 18 2
29 18 7
14 18 2
7 14 1
7 11 1
7 6 3
6 5 7
3 5 2
9 8 14
8 3 2
9 10 6
9 11 2
9 12 1
10 28 8
10 12 15
28 27 9
12 27 10
21 12 1
21 19 4
19 20 2
25 27 10
19 26 1
25 26 1
20 25 2
20 21 3
21 22 3
21 14 2
12 19 6
13 23 4
13 7 1
17 7 2
13 17 8
24 13 1

30 31 2
31 32 1
31 33 12
32 34 13
34 33 11
45 34 8
45 47 2
34 47 5
34 36 2
47 36 1
46 47 1
45 46 1
46 54 3
46 43 5
54 53 7
54 60 6
60 59 1
53 59 4
53 58 2
59 48 8
44 58 2
37 44 1
37 41 1
37 36 3
36 35 7
33 35 2
39 38 14
38 33 1
39 40 6
39 41 2
39 42 1
40 58 8
40 42 15
58 47 9
42 57 10
51 42 1
51 49 4
49 50 1
56 47 10
49 56 1
55 56 1
50 55 2
50 51 3
55 52 14
51 44 2
42 49 6
43 53 4
43 37 1
47 37 2
43 47 8
54 43 1

60 61 5
61 62 40
61 63 50
61 64 5
61 65 7
62 63 5
62 69 4
63 65 9
64 2 1
65 9 1
66 20 1
67 45 1
68 67 12
70 1 10
